Make,Model,Year,Front Wheel Size (in),SAE Net Horsepower @ RPM,Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Gas Mileage,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,MSRP
Acura,ILX,2013,16,110,15,4,70,55,179,39,FWD,5,4,4dr,28
Acura,ILX,2014,16,110,15,4,70,55,179,39,FWD,5,4,4dr,28
Acura,ILX,2015,17,150,20,4,70,55,179,24,FWD,5,4,4dr,27
Acura,ILX,2016,17,200,24,4,70,55,181,25,FWD,5,4,4dr,27
Acura,ILX,2017,17,200,24,4,70,55,181,25,FWD,5,4,4dr,27
Acura,ILX,2019,17,200,24,4,70,55,182,24,FWD,5,4,4dr,25
Acura,ILX,2020,17,200,24,4,70,55,182,24,FWD,5,4,4dr,25
Acura,MDX,2011,18,300,37,6,78,68,191,16,AWD,7,4,SUV,42
Acura,MDX,2012,18,300,37,6,78,68,191,16,AWD,7,4,SUV,43
Acura,MDX,2013,18,300,37,6,78,68,191,nan,AWD,7,4,SUV,43
Acura,MDX,2014,18,290,35,6,77,67,193,20,FWD,7,4,SUV,42
Acura,MDX,2016,18,290,35,6,77,67,193,19,FWD,7,4,SUV,43
Acura,MDX,2017,18,290,35,6,77,67,196,19,FWD,7,4,SUV,44
Acura,MDX,2019,18,290,35,6,77,67,196,20,FWD,7,4,SUV,44
Acura,MDX,2020,20,290,35,6,77,67,196,20,FWD,6,4,SUV,56
Acura,NSX,2001,16,250,30,6,71,46,174,17,RWD,2,2,2dr,84
Acura,NSX,2002,17,250,30,6,71,46,174,17,RWD,2,2,2dr,89
Acura,NSX,2003,17,250,30,6,71,46,174,17,RWD,2,2,2dr,89
Acura,NSX,2004,17,250,30,6,71,46,174,17,RWD,2,2,Convertible,89
Acura,NSX,2005,17,250,30,6,71,46,174,17,RWD,2,2,Convertible,89
Acura,NSX,2016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Acura,NSX,2017,19,570,35,6,87,47,176,21,AWD,2,2,2dr,156
Acura,NSX,2019,19,570,35,6,76,47,176,21,AWD,2,2,2dr,157
Acura,NSX,2020,19,570,35,6,76,47,176,21,AWD,2,2,2dr,157
Acura,RDX,2011,18,240,23,4,73,65,180,17,AWD,5,4,SUV,34
Acura,RDX,2012,18,240,23,4,73,65,182,17,AWD,5,4,SUV,34
Acura,RDX,2013,18,270,35,6,73,66,183,19,AWD,5,4,SUV,35
Acura,RDX,2014,18,270,35,6,73,66,183,19,AWD,5,4,SUV,35
Acura,RDX,2015,18,270,35,6,73,66,183,19,AWD,5,4,SUV,36
Acura,RDX,2016,18,270,35,6,73,65,184,19,AWD,5,4,SUV,36
Acura,RDX,2017,18,270,35,6,73,65,184,19,AWD,5,4,SUV,37
Acura,RDX,2019,19,270,20,4,74,65,186,21,AWD,5,4,SUV,39
Acura,RDX,2020,19,270,20,4,74,65,186,21,AWD,5,4,SUV,39
Acura,RLX,2014,18,310,35,6,74,57,196,20,FWD,5,4,4dr,48
Acura,RLX,2015,18,310,35,6,74,57,196,20,FWD,5,4,4dr,48
Acura,RLX,2016,19,310,35,6,74,57,196,20,FWD,5,4,4dr,60
Acura,RLX,2017,19,370,35,6,74,57,196,29,AWD,5,4,4dr,65
Acura,RLX,2019,19,370,35,6,74,57,198,28,AWD,5,4,4dr,61
Acura,RLX,2020,19,370,35,6,74,57,198,28,AWD,5,4,4dr,61
Acura,TLX,2015,17,200,24,4,73,57,190,24,FWD,5,4,4dr,31
Acura,TLX,2016,17,200,24,4,73,57,190,24,FWD,5,4,4dr,31
Acura,TLX,2017,17,200,24,4,73,57,190,24,FWD,5,4,4dr,32
Acura,TLX,2019,17,200,24,4,73,57,191,23,FWD,5,4,4dr,33
Acura,TLX,2020,17,200,24,4,73,57,190,23,FWD,5,4,4dr,33
Alfa Romeo,4C Spider,2020,17,230,17,4,73,46,157,24,RWD,2,2,Convertible,67
Alfa Romeo,4C,2015,17,230,17,4,73,46,157,nan,RWD,2,2,Convertible,63
Alfa Romeo,4C,2016,17,230,17,4,73,46,157,24,RWD,2,2,Convertible,65
Alfa Romeo,4C,2017,17,230,17,4,73,46,157,24,RWD,2,2,2dr,55
Alfa Romeo,4C,2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alfa Romeo,Giulia,2011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alfa Romeo,Giulia,2017,17,280,20,4,73,56,182,23,AWD,5,4,4dr,39
Alfa Romeo,Giulia,2020,17,280,20,4,73,56,182,23,AWD,5,4,4dr,41
Alfa Romeo,Stelvio,2019,18,280,20,4,74,66,184,22,AWD,5,4,SUV,42
Alfa Romeo,Stelvio,2020,18,280,20,4,74,66,184,22,AWD,5,4,SUV,43
Aston Martin,DB11,2017,20,600,52,12,76,50,186,15,RWD,4,2,2dr,211
Aston Martin,DB11,2019,20,630,52,12,76,50,186,nan,RWD,4,2,2dr,241
Aston Martin,DBS,2008,20,510,59,12,75,50,185,11,RWD,2,2,2dr,262
Aston Martin,DBS,2009,20,510,60,12,75,50,185,11,RWD,2,2,2dr,269
Aston Martin,DBS,2010,20,510,60,12,75,50,185,11,RWD,2,2,2dr,266
Aston Martin,DBS,2011,20,510,59,12,75,50,185,11,RWD,2,2,2dr,268
Aston Martin,DBS,2012,20,510,59,12,75,50,185,11,RWD,2,2,2dr,275
Aston Martin,DBS,2019,21,710,52,12,77,50,185,nan,RWD,4,2,2dr,304
Aston Martin,Vanquish,2003,19,460,59,12,75,51,183,11,RWD,2,2,2dr,231
Aston Martin,Vanquish,2004,19,460,59,12,75,51,183,12,RWD,2,2,2dr,234
Aston Martin,Vanquish,2005,19,520,59,12,75,51,183,11,RWD,2,2,2dr,255
